kaltmiete_listing,overpriced,floor,furnished,num_photos,total_floors,building_age_years,listing_date,wg_typ,year_built,priority_score,num_rooms,plz,balcony,days_online,living_area_m2,stadtteil,living_area_text,energieausweis,dist_uni_km,contact_type,heating_type,kitchen,dist_uni_min,elevator,clicks_last_week,listing_id,nebenkosten_eur
325 €,False,2. OG,teilmöbliert,16,2,126,08.05.2026,gemischt,1900,7,3.0,93051,nein,52,21.2,Königswiesen,21.2 m2,A+,7.5,Genossenschaft,Nachtspeicher,Pantry,30,ja,211,INS-2026-49534,57
335 €,True,3. OG,möbliert,10,2,105,04.04.2026,gemischt,1921,9,2.0,93055,ja,71,18.8,Burgweinting,18.8 m2,A+,10.8,Makler,Gasetagenheizung,Einbauküche,44,nein,52,INS-2026-39524,126
491 warm,False,EG,unmöbliert,10,2,50,18.03.2026,Studenten-WG,1976,5,1.0,93053,ja,40,16.3,Galgenberg,16.3 m2,E,10.7,Privat,Gasetagenheizung,Einbauküche,43,nein,65,INS-2026-45414,157
373 €,False,2. OG,unmöbliert,10,2,18,19.04.2026,Studenten-WG,2008,6,3.0,93059,nein,23,20.4,Stadtamhof,"20,4 qm",E,10.9,Privat,Fernwärme,Einbauküche,44,nein,227,INS-2026-36290,164
328,False,EG,teilmöbliert,10,4,35,16.02.2026,Studenten-WG,1991,7,3.0,93049,nein,71,22.5,Karthaus-Prüll,22 m²,D,9.4,Privat,Zentralheizung,Einbauküche,37,nein,94,INS-2026-68392,149
"301,00 EUR",True,Souterrain,teilmöbliert,21,1,15,22.05.2026,Frauen-WG,2011,4,2.0,93051,ja,51,20.6,Dechbetten,20.6 m2,A+,1.8,Privat,Nachtspeicher,Pantry,7,ja,114,INS-2026-90560,83
339,True,DG,unmöbliert,14,2,84,04.01.2026,Frauen-WG,1942,8,2.0,93059,ja,7,17.7,Reinhausen,18 m²,A+,3.4,Makler,Öl,Einbauküche,14,ja,125,INS-2026-87234,74
467 warm,False,DG,unmöbliert,15,2,4,13.02.2026,gemischt,2022,8,3.0,93053,nein,52,21.7,Kasernenviertel,"21,7 qm",D,4.3,Privat,Gasetagenheizung,Einbauküche,17,nein,220,INS-2026-90121,85
345 warm,False,DG,unmöbliert,6,2,30,17.02.2026,Männer-WG,1996,10,3.0,93055,nein,61,15.1,Burgweinting,15 m²,D,6.2,Privat,Gasetagenheizung,Pantry,24,ja,185,INS-2026-70439,132
306 €,False,2. OG,unmöbliert,8,4,101,22.04.2026,Frauen-WG,1925,7,1.0,93049,nein,18,17.7,Westenviertel,18 m²,A,8.6,Privat,Gasetagenheizung,keine,35,nein,297,INS-2026-92509,103
